2025-03-28 08:00,LightA,10
2025-03-28 08:00,LightB,15
2025-03-28 08:00,LightC,12
2025-03-28 08:00,LightD,8
2025-03-28 08:05,LightA,14
2025-03-28 08:05,LightB,18
2025-03-28 08:05,LightC,13
2025-03-28 08:05,LightD,11
2025-03-28 08:10,LightA,20
2025-03-28 08:10,LightB,21
2025-03-28 08:10,LightC,17
2025-03-28 08:10,LightD,9
2025-03-28 08:15,LightA,13
2025-03-28 08:15,LightB,16
2025-03-28 08:15,LightC,10
2025-03-28 08:15,LightD,12
2025-03-28 08:20,LightA,18
2025-03-28 08:20,LightB,19
2025-03-28 08:20,LightC,14
2025-03-28 08:20,LightD,11
2025-03-28 08:25,LightA,12
2025-03-28 08:25,LightB,14
2025-03-28 08:25,LightC,13
2025-03-28 08:25,LightD,10
2025-03-28 08:30,LightA,16
2025-03-28 08:30,LightB,17
2025-03-28 08:30,LightC,15
2025-03-28 08:30,LightD,9
2025-03-28 08:35,LightA,19
2025-03-28 08:35,LightB,20
2025-03-28 08:35,LightC,14
2025-03-28 08:35,LightD,10
2025-03-28 08:40,LightA,11
2025-03-28 08:40,LightB,13
2025-03-28 08:40,LightC,12
2025-03-28 08:40,LightD,7
2025-03-28 08:45,LightA,17
2025-03-28 08:45,LightB,22
2025-03-28 08:45,LightC,19
2025-03-28 08:45,LightD,8
2025-03-28 08:50,LightA,10
2025-03-28 08:50,LightB,14
2025-03-28 08:50,LightC,11
2025-03-28 08:50,LightD,9
2025-03-28 08:55,LightA,13
2025-03-28 08:55,LightB,17
2025-03-28 08:55,LightC,15
2025-03-28 08:55,LightD,10
2025-03-28 09:00,LightA,21
2025-03-28 09:00,LightB,25
2025-03-28 09:00,LightC,22
2025-03-28 09:00,LightD,18
2025-03-28 09:05,LightA,18
2025-03-28 09:05,LightB,20
2025-03-28 09:05,LightC,17
2025-03-28 09:05,LightD,15
2025-03-28 09:10,LightA,19
2025-03-28 09:10,LightB,21
2025-03-28 09:10,LightC,20
2025-03-28 09:10,LightD,17
2025-03-28 09:15,LightA,16
2025-03-28 09:15,LightB,18
2025-03-28 09:15,LightC,15
2025-03-28 09:15,LightD,14
2025-03-28 09:20,LightA,22
2025-03-28 09:20,LightB,23
2025-03-28 09:20,LightC,19
2025-03-28 09:20,LightD,16
2025-03-28 09:25,LightA,15
2025-03-28 09:25,LightB,16
2025-03-28 09:25,LightC,14
2025-03-28 09:25,LightD,11
2025-03-28 09:30,LightA,17
2025-03-28 09:30,LightB,20
2025-03-28 09:30,LightC,13
2025-03-28 09:30,LightD,9
2025-03-28 09:35,LightA,14
2025-03-28 09:35,LightB,18
2025-03-28 09:35,LightC,12
2025-03-28 09:35,LightD,10
2025-03-28 09:40,LightA,12
2025-03-28 09:40,LightB,14
2025-03-28 09:40,LightC,11
2025-03-28 09:40,LightD,9
2025-03-28 09:45,LightA,20
2025-03-28 09:45,LightB,22
2025-03-28 09:45,LightC,19
2025-03-28 09:45,LightD,13
2025-03-28 09:50,LightA,16
2025-03-28 09:50,LightB,18
2025-03-28 09:50,LightC,15
2025-03-28 09:50,LightD,12
2025-03-28 09:55,LightA,18
2025-03-28 09:55,LightB,20
2025-03-28 09:55,LightC,17
2025-03-28 09:55,LightD,14
